Network,Number Score,Subscribers,,,,
HBO Max,0.93,73800000,,,,
Hulu,0.89,45300000,,,,
HBO Max,0.87,73800000,,,,
Amazon Prime Video,0.76,175000000,,,,
Netflix,0.51,221800000,,,,
Apple TV+,0.38,20000000,,,,
HBO Max,0.97,73800000,,,,
Hulu,0.68,45300000,,,,
Netflix,0.79,221800000,,,,
Netflix,0.76,221800000,,,,
Hulu,0.73,45300000,,,,
HBO Max,0.74,73800000,,,,
Apple TV+,0.82,20000000,,,,
HBO Max,0.73,73800000,,,,
Disney+,0.93,129800000,,,,
Apple TV+,0.87,20000000,,,,
Apple TV+,0.76,20000000,,,,
Apple TV+,0.93,20000000,,,,
HBO Max,0.82,73800000,,,,
Netflix,0.92,221800000,,,,
Netflix,0.35,221800000,,,,
Netflix,0.88,221800000,,,,
Hulu,0.8,45300000,,,,
Netflix,0.81,221800000,,,,
HBO Max,0.83,73800000,,,,
Apple TV+,0.88,20000000,,,,
HBO Max,0.93,73800000,,,,
HBO Max,0.96,73800000,,,,
Apple TV+,0.88,20000000,,,,
Apple TV+,0.81,20000000,,,,
Hulu,0.89,45300000,,,,
Netflix,0.62,221800000,,,,
HBO Max,0.68,73800000,,,,
Hulu,0.84,45300000,,,,
HBO Max,0.91,73800000,,,,
Hulu,0.91,45300000,,,,
HBO Max,0.87,73800000,,,,
Disney+,0.9,129800000,,,,
Netflix,0.83,221800000,,,,
Amazon Prime Video,0.36,175000000,,,,
Amazon Prime Video,0.4,175000000,,,,
Disney+,0.76,129800000,,,,
Disney+,0.83,129800000,,,,
Disney+,0.58,129800000,,,,
Disney+,0.82,129800000,,,,
Disney+,0.92,129800000,,,,
Disney+,0.67,129800000,,,,
HBO Max,0.77,73800000,,,,
HBO Max,0.73,73800000,,,,
Netflix,0.53,221800000,,,,
Hulu,0.85,45300000,,,,
Netflix,0.91,221800000,,,,
HBO Max,0.85,73800000,,,,
Amazon Prime Video,0.87,175000000,,,,
HBO Max,0.82,73800000,,,,
Netflix,0.75,221800000,,,,
Hulu,0.79,45300000,,,,
Apple TV+,0.31,20000000,,,,
Apple TV+,0.93,20000000,,,,
Netflix,0.87,221800000,,,,
Hulu,0.92,45300000,,,,
Apple TV+,0.78,20000000,,,,
Hulu,0.84,45300000,,,,
Apple TV+,0.91,20000000,,,,
Netflix,0.66,221800000,,,,
Hulu,0.91,45300000,,,,
Hulu,0.86,45300000,,,,
Apple TV+,0.79,20000000,,,,
HBO Max,0.8,73800000,,,,
Disney+,0.98,129800000,,,,
HBO Max,0.56,73800000,,,,
Disney+,0.93,129800000,,,,
Netflix,0.5,221800000,,,,
HBO Max,0.82,73800000,,,,
Apple TV+,100,20000000,,,,
Netflix,0.8,221800000,,,,
Disney+,0.57,129800000,,,,
HBO Max,0.8,73800000,,,,
Amazon Prime Video,0.85,175000000,,,,
Amazon Prime Video,0.74,175000000,,,,
